Brand,Description,Image_URL,Product_ID,Discount_Price (in Rs.),Original_Price (in Rs.),Product_URL,Category_by_gender,Category
john-players,Checked Slim Fit Shirt With Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210706/2LNg/60e35301f997ddb3121b4e3b/-286Wx359H-441122529-khaki-MODEL.jpg,441122529005,637,"1,299",https://trends.ajio.com/john-players-checked-slim-fit-shirt-with-patch-pocket/p/441122529_khaki,Men,Topwear
lee-cooper,Checkered Hooded Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220126/YM3L/61f0451cf997dd66233c5aa4/-286Wx359H-441213715-navy-MODEL.jpg,441213715001,850,"1,699",https://trends.ajio.com/lee-cooper-checkered-hooded-shirt-with-patch-pocket/p/441213715_navy,Men,Topwear
sin,Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220111/lH5D/61dc89c0aeb2695cdd0c74ab/-286Wx359H-441207279-mustard-MODEL.jpg,441207279004,600,"1,499",https://trends.ajio.com/sin-checked-slim-fit-shirt-with-patch-pocket/p/441207279_mustard,Men,Topwear
john-players,Slim Fit Checked Shirt With Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210713/owU8/60ec96a3f997ddb3122442a8/-286Wx359H-441120846-navy-MODEL.jpg,441120846003,588,"1,199",https://trends.ajio.com/john-players-slim-fit-checked-shirt-with-patch-pocket/p/441120846_navy,Men,Topwear
teamspirit,Typographic Print Crew-Neck T-shirt with Contrast Raglan Sleeves,https://assets.ajio.com/medias/sys_master/root/20211125/npIX/619e8fa7aeb2690110d7cca1/-286Wx359H-441132303-white-MODEL.jpg,441132303006,324,499,https://trends.ajio.com/teamspirit-typographic-print-crew-neck-t-shirt-with-contrast-raglan-sleeves/p/441132303_white,Men,Topwear
john-players,Extra Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210805/JOSl/610c04dbaeb269a2686ae520/-286Wx359H-441122686-darkblue-MODEL.jpg,441122686009,588,"1,199",https://trends.ajio.com/john-players-extra-slim-fit-shirt-with-patch-pocket/p/441122686_darkblue,Men,Topwear
netplay,NP 06 Slim Fit Shirt with Band Collar,https://assets.ajio.com/medias/sys_master/root/20220212/3qYq/6206c417f997dd03e2ccdc63/-286Wx359H-441136994-navy-MODEL.jpg,441136994008,839,"1,049",https://trends.ajio.com/netplay-np-06-slim-fit-shirt-with-band-collar/p/441136994_navy,Men,Topwear
performax,Camouflage Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211230/BPes/61ccb237f997ddf8f16876f9/-286Wx359H-441129802-orange-MODEL.jpg,441129802009,450,899,https://trends.ajio.com/performax-camouflage-print-crew-neck-t-shirt/p/441129802_orange,Men,Topwear
john-players-jeans,Crew-Neck T-shirt with Placement Typography,https://assets.ajio.com/medias/sys_master/root/20220106/rZH6/61d708a8f997dd662312f4bf/-286Wx359H-441133263-grey-MODEL.jpg,441133263005,400,799,https://trends.ajio.com/john-players-jeans-crew-neck-t-shirt-with-placement-typography/p/441133263_grey,Men,Topwear
lee-cooper,Speckle & Splatter Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220212/G4XB/6206ada9aeb26921af94deff/-286Wx359H-441245223-darknavy-MODEL.jpg,441245223004,500,999,https://trends.ajio.com/lee-cooper-speckle--splatter-crew-neck-t-shirt/p/441245223_darknavy,Men,Topwear
john-players,Slim Fit High-Neck Puffer Jacket,https://assets.ajio.com/medias/sys_master/root/20211125/KTxq/619fae64f997ddf8f11a88a9/-286Wx359H-441122829-jetblack-MODEL.jpg,441122829001,"1,470","2,999",https://trends.ajio.com/john-players-slim-fit-high-neck-puffer-jacket/p/441122829_jetblack,Men,Topwear
john-players-jeans,Typographic Print Slim Fit Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220222/0Dpj/621400c2aeb26921afa7e38b/-286Wx359H-441133262-green-MODEL.jpg,441133262005,400,799,https://trends.ajio.com/john-players-jeans-typographic-print-slim-fit-crew-neck-t-shirt/p/441133262_green,Men,Topwear
netplay,Checked Slim Fit Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20210609/1VBk/60bfc7a0aeb269a9e3dfe9ce/-286Wx359H-441120431-mediumblue-MODEL.jpg,441120431009,419,699,https://trends.ajio.com/netplay-checked-slim-fit-polo-t-shirt/p/441120431_mediumblue,Men,Topwear
john-players-jeans,Slim Fit Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211210/LRuD/61b34d00aeb2690110079353/-286Wx359H-441135972-olive-MODEL.jpg,441135972013,500,999,https://trends.ajio.com/john-players-jeans-slim-fit-crew-neck-t-shirt/p/441135972_olive,Men,Topwear
netplay,Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220106/NZYD/61d70845aeb2695cdd075500/-286Wx359H-441132218-mediumblue-MODEL.jpg,441132218009,749,999,https://trends.ajio.com/netplay-checked-slim-fit-shirt-with-patch-pocket/p/441132218_mediumblue,Men,Topwear
